,0
1,49
2,82
3,50
4,51
5,48
6,58
7,39
8,60
9,47
10,61
11,51
12,42
13,52
14,51
15,60
16,47
17,41
18,51
19,61
20,58
21,60
22,53
23,41
24,44
25,38
26,54
27,43
28,48
29,48
30,54
31,47
32,52
33,45
34,58
35,40
36,43
37,42
38,42
39,43
40,60
41,48
42,58
43,42
44,44
45,44
46,49
47,42
48,51
49,53
50,42
51,39
52,54
53,52
54,55
55,58
56,49
57,45
58,40
59,40
60,50
61,46
62,47
63,59
64,49
65,44
66,43
67,42
68,52
69,52
70,48
71,47
72,56
73,43
74,48
75,42
76,43
77,45
78,52
79,40
80,40
81,49
82,60
83,48
84,55
85,61
86,55
87,42
88,40
89,44
90,52
91,50
92,44
93,54
94,40
95,43
96,46
97,49
98,49
99,49
100,56
101,59
102,46
103,45
104,75
105,56
106,55
107,46
108,45
109,45
110,39
111,43
112,43
113,50
114,35
115,43
116,43
117,38
118,47
119,46
120,53
121,44
122,47
123,48
124,47
125,73
126,68
127,59
128,68
129,46
130,55
131,56
132,53
133,56
134,43
135,1
136,58
137,50
138,63
139,51
140,48
141,44
142,42
143,49
144,47
145,41
146,52
147,60
148,47
149,40
150,47
151,38
152,39
153,40
154,42
155,43
156,46
157,69
158,69
159,68
160,53
161,74
162,44
163,49
164,41
165,65
166,48
167,53
168,46
169,50
170,56
171,44
172,42
173,57
174,47
175,53
176,50
177,48
178,52
179,66
180,45
181,40
182,54
183,56
184,59
185,49
186,58
187,61
188,53
189,56
190,55
191,55
192,57
193,53
194,58
195,78
196,57
197,54
198,41
